Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche
1,2.187733254,0.117676572,0.852156655,1.217900026,5.4,39,55.7,80
2,2.19145471,0.115949821,0.859614138,1.215890751,5.3,39.2,55.5,80
3,2.192067736,0.115308101,0.862052137,1.214707497,5.3,39.3,55.4,80
4,2.19335953,0.114471499,0.865143987,1.213744043,5.2,39.4,55.3,80
5,2.195385548,0.113304826,0.869028733,1.213051989,5.2,39.6,55.3,80
6,2.201151741,0.111025557,0.877095236,1.213030949,5,39.8,55.1,80
7,2.201993826,0.110375339,0.879573194,1.212045293,5,39.9,55,80
8,2.202021,0.109959348,0.881175873,1.210885779,5,40,55,80
9,2.20275644,0.109426238,0.883422687,1.209907516,5,40.1,54.9,80
10,2.203243731,0.108819825,0.885504685,1.208919221,4.9,40.2,54.9,80
11,2.210499129,0.106440089,0.894907344,1.209151696,4.8,40.5,54.7,80
12,2.212004315,0.104765252,0.900373359,1.206865703,4.7,40.7,54.6,80
13,2.213858597,0.103416108,0.905611198,1.204831291,4.7,40.9,54.4,80
14,2.211384596,0.102526609,0.907569412,1.201288574,4.6,41,54.3,80
15,2.213655234,0.10158998,0.911373983,1.200691272,4.6,41.2,54.2,80
16,2.212106592,0.100785966,0.914657893,1.196662733,4.6,41.3,54.1,80
17,2.211146368,0.100056983,0.917382272,1.193707113,4.5,41.5,54,80
18,2.214689642,0.098584465,0.924615833,1.191489344,4.5,41.7,53.8,80
19,2.214363458,0.09799674,0.926931296,1.189435421,4.4,41.9,53.7,80
20,2.218670805,0.096416699,0.934971344,1.187282761,4.3,42.1,53.5,80
21,2.218012852,0.095611682,0.938199553,1.184201617,4.3,42.3,53.4,80
22,2.231664824,0.090113748,0.962547576,1.1790035,4,43.1,52.8,80
23,2.241420215,0.085647042,0.981724469,1.174048704,3.8,43.8,52.4,80
24,2.242297103,0.084803919,0.985925861,1.171567323,3.8,44,52.2,80
25,2.241588467,0.084096695,0.989140674,1.168351097,3.8,44.1,52.1,80
26,2.239145464,0.083137689,0.99216401,1.163843765,3.7,44.3,52,80
27,2.240594347,0.082190382,0.996709962,1.161694004,3.7,44.5,51.8,80
28,2.234643931,0.080682997,1.001497261,1.152463673,3.6,44.8,51.6,80
29,2.236380125,0.079623618,1.006249256,1.150507252,3.6,45,51.4,80
30,2.23766317,0.079157987,1.00836094,1.150144243,3.5,45.1,51.4,80
31,2.236239337,0.077434858,1.015577126,1.143227354,3.5,45.4,51.1,80
32,2.237403421,0.076695923,1.017357657,1.14334984,3.4,45.5,51.1,80
33,2.234343511,0.074779988,1.023724497,1.135839026,3.3,45.8,50.8,80
34,2.234960866,0.074239738,1.024675336,1.136045792,3.3,45.8,50.8,80
35,2.225484986,0.072309982,1.032173256,1.121001748,3.2,46.4,50.4,80
36,2.229273349,0.071094204,1.037736762,1.120442383,3.2,46.6,50.3,80
37,2.217192193,0.068821352,1.048903761,1.099467079,3.1,47.3,49.6,80
38,2.223494715,0.067466034,1.056158614,1.099870067,3,47.5,49.5,80
39,2.228466403,0.066131907,1.063232233,1.099102264,3,47.7,49.3,80
40,2.226754012,0.063386849,1.079682163,1.083685,2.8,48.5,48.7,80
41,2.230878852,0.062244018,1.085847672,1.082787162,2.8,48.7,48.5,80
42,2.237589418,0.060466507,1.09702367,1.080099241,2.7,49,48.3,80
43,2.240501949,0.059697913,1.101438362,1.079365674,2.7,49.2,48.2,80
44,2.245561888,0.058452305,1.108474632,1.078634951,2.6,49.4,48,80
45,2.256909526,0.056652881,1.119821766,1.080434879,2.5,49.6,47.9,80
46,2.262690547,0.055269901,1.127725859,1.079694787,2.4,49.8,47.7,80
47,2.271405963,0.05337361,1.137745835,1.080286518,2.3,50.1,47.6,80
48,2.276477729,0.051663222,1.145721958,1.079092549,2.3,50.3,47.4,80
49,2.279935818,0.050584921,1.15011369,1.079237206,2.2,50.4,47.3,80
50,2.285062265,0.049433231,1.156755277,1.078873757,2.2,50.6,47.2,80
51,2.288107783,0.047984243,1.165290603,1.074832938,2.1,50.9,47,80
52,2.291625792,0.046498037,1.171899957,1.073227798,2,51.1,46.8,80
53,2.29542433,0.04486584,1.178374819,1.072183672,2,51.3,46.7,80
54,2.304444987,0.042289391,1.191566395,1.070589202,1.8,51.7,46.5,80
55,2.309039782,0.040420679,1.201835522,1.066783581,1.8,52,46.2,80
56,2.314638793,0.039013426,1.209374097,1.06625127,1.7,52.2,46.1,80
57,2.315159844,0.037954466,1.215725968,1.061479411,1.6,52.5,45.8,80
58,2.32473759,0.035552528,1.228977883,1.060207178,1.5,52.9,45.6,80
59,2.3380726,0.032753742,1.246872605,1.058446253,1.4,53.3,45.3,80
60,2.346642174,0.030457108,1.260906539,1.055278527,1.3,53.7,45,80
61,2.357604515,0.028254227,1.276742113,1.052608175,1.2,54.2,44.6,80
62,2.37901073,0.02506273,1.302385422,1.051562579,1.1,54.7,44.2,80
63,2.40045449,0.022016498,1.328587158,1.049850834,0.9,55.3,43.7,80
64,2.415297125,0.020042629,1.345772243,1.049482253,0.8,55.7,43.5,80
65,2.42819905,0.018455384,1.360566727,1.049176938,0.8,56,43.2,80
66,2.43982966,0.017029449,1.373521487,1.049278725,0.7,56.3,43,80
67,2.452351079,0.015536373,1.387776379,1.049038327,0.6,56.6,42.8,80
68,2.462687817,0.014301247,1.397839678,1.050546891,0.6,56.8,42.7,80
69,2.474447268,0.012734373,1.409961802,1.051751093,0.5,57,42.5,80
70,2.480531339,0.011506507,1.41760918,1.051415652,0.5,57.1,42.4,80
71,2.494995684,0.009904691,1.436675392,1.0484156,0.4,57.6,42,80
72,2.504707201,0.008797825,1.446953373,1.048956003,0.4,57.8,41.9,80
73,2.495137165,0.007719122,1.456509098,1.030908944,0.3,58.4,41.3,80
74,2.505322287,0.006510374,1.46039874,1.038413172,0.3,58.3,41.4,80
75,2.519646883,0.005799213,1.451772742,1.062074928,0.2,57.6,42.2,80
76,2.539941972,0.00493941,1.438576377,1.096426185,0.2,56.6,43.2,80
77,2.549345391,0.004536467,1.425393614,1.11941531,0.2,55.9,43.9,80
78,2.555337886,0.004129449,1.414723894,1.136484544,0.2,55.4,44.5,80
79,2.551835444,0.003857485,1.37450753,1.173470429,0.2,53.9,46,80
80,2.558050465,0.003469225,1.353202607,1.201378633,0.1,52.9,47,80
81,2.560820002,0.003123077,1.318187807,1.239509118,0.1,51.5,48.4,80
82,2.557464915,0.00297614,1.276068955,1.27841982,0.1,49.9,50,80
83,2.555728047,0.002971499,1.256555973,1.296200576,0.1,49.2,50.7,80
84,2.558435871,0.002859432,1.217984459,1.33759198,0.1,47.6,52.3,80
85,2.560648765,0.002800236,1.178346689,1.379501841,0.1,46,53.9,80
86,2.562115184,0.002684796,1.140083169,1.41934722,0.1,44.5,55.4,80
87,2.55606641,0.002771245,1.072622534,1.480672632,0.1,42,57.9,80
88,2.557476864,0.002422423,0.995935868,1.559118573,0.1,38.9,61,80
89,2.561186862,0.002102304,0.889876091,1.669208467,0.1,34.7,65.2,80
90,2.565088962,0.001804905,0.748454519,1.814829538,0.1,29.2,70.8,80
91,2.568964275,0.001635827,0.628060482,1.939267966,0.1,24.4,75.5,80
92,2.576144973,0.001511775,0.497018397,2.077614801,0.1,19.3,80.6,80
93,2.581217132,0.001530152,0.435390903,2.144296077,0.1,16.9,83.1,80
94,2.588999586,0.00166682,0.458841495,2.128491271,0.1,17.7,82.2,80
95,2.584070421,0.002095526,0.528476362,2.053498532,0.1,20.5,79.5,80
96,2.584066893,0.002564832,0.613041268,1.968460793,0.1,23.7,76.2,80
97,2.585169748,0.00327305,0.744048376,1.837848323,0.1,28.8,71.1,80
98,2.581930782,0.004264547,0.839134425,1.73853181,0.2,32.5,67.3,80
99,2.577845819,0.005861646,0.950415113,1.62156906,0.2,36.9,62.9,80
100,2.581941761,0.008189933,1.069113662,1.504638166,0.3,41.4,58.3,80
101,2.586707603,0.010399825,1.139962028,1.43634575,0.4,44.1,55.5,80
102,2.590185828,0.012848134,1.188033507,1.389304187,0.5,45.9,53.6,80
103,2.597345177,0.016120786,1.235166513,1.346057878,0.6,47.6,51.8,80
104,2.601869713,0.01876512,1.249910381,1.333194212,0.7,48,51.2,80
105,2.609630244,0.022962865,1.281497994,1.305169385,0.9,49.1,50,80
106,2.613198133,0.026204131,1.297346978,1.289647024,1,49.6,49.4,80
107,2.61966618,0.032679077,1.324008923,1.262978179,1.2,50.5,48.2,80
108,2.621944289,0.037513275,1.332782048,1.251648966,1.4,50.8,47.7,80
109,2.627802047,0.042762178,1.342635753,1.242404116,1.6,51.1,47.3,80
110,2.666087182,0.050532157,1.386442467,1.229112558,1.9,52,46.1,80
111,2.673545865,0.057060441,1.390325089,1.226160335,2.1,52,45.9,80
112,2.704893867,0.064161275,1.419719238,1.221013354,2.4,52.5,45.1,80
113,2.709285532,0.067168056,1.42028669,1.221830786,2.5,52.4,45.1,80
114,2.711994551,0.071605849,1.421166298,1.219222403,2.6,52.4,45,80
115,2.714583313,0.074255883,1.421555881,1.218771549,2.7,52.4,44.9,80
116,2.718034324,0.079271298,1.42080657,1.217956456,2.9,52.3,44.8,80
117,2.708896446,0.081550511,1.413013834,1.2143321,3,52.2,44.8,80
118,2.710004835,0.087645413,1.410232162,1.21212726,3.2,52,44.7,80
119,2.71650065,0.094498589,1.40957633,1.212425731,3.5,51.9,44.6,80
120,2.723989446,0.100826939,1.408666972,1.214495534,3.7,51.7,44.6,80
121,2.729400186,0.109054733,1.403793363,1.216552091,4,51.4,44.6,80
122,2.728460847,0.115446614,1.399235936,1.213778297,4.2,51.3,44.5,80
123,2.723833603,0.12185932,1.396432662,1.205541621,4.5,51.3,44.3,80
124,2.722803984,0.127391828,1.392669086,1.20274307,4.7,51.1,44.2,80
125,2.722257756,0.135506446,1.390800916,1.195950395,5,51.1,43.9,80
126,2.726510698,0.144036109,1.386698468,1.19577612,5.3,50.9,43.9,80
127,2.726546768,0.156013265,1.384971224,1.185562279,5.7,50.8,43.5,80
128,2.731040838,0.16430436,1.379793767,1.186942711,6,50.5,43.5,80
129,2.734873425,0.177428312,1.374776233,1.18266888,6.5,50.3,43.2,80
130,2.74570825,0.18950652,1.365498336,1.190703394,6.9,49.7,43.4,80
131,2.750453645,0.206191579,1.352123053,1.192139012,7.5,49.2,43.3,80
132,2.754410011,0.219973733,1.343642751,1.190793528,8,48.8,43.2,80
133,2.759352705,0.229563196,1.33493258,1.194856929,8.3,48.4,43.3,80
134,2.761115644,0.237477201,1.330211461,1.193426982,8.6,48.2,43.2,80
135,2.766700635,0.24233457,1.326116311,1.198249754,8.8,47.9,43.3,80
136,2.770799952,0.253778807,1.324688683,1.192332461,9.2,47.8,43,80
137,2.749489018,0.259568307,1.321582676,1.168338035,9.4,48.1,42.5,80
138,2.746522379,0.267542338,1.323304006,1.155676035,9.7,48.2,42.1,80
139,2.751044941,0.271403513,1.320254371,1.159387057,9.9,48,42.1,80
140,2.761154475,0.277694836,1.315486666,1.167972972,10.1,47.6,42.3,80
141,2.762019833,0.289790929,1.315537697,1.156691208,10.5,47.6,41.9,80
142,2.768649794,0.295943577,1.310656372,1.162049845,10.7,47.3,42,80
143,2.758184239,0.306905454,1.312741036,1.138537749,11.1,47.6,41.3,80
144,2.765368044,0.314537394,1.306689175,1.144141475,11.4,47.3,41.4,80
145,2.749575143,0.325555105,1.313495085,1.110524953,11.8,47.8,40.4,80
146,2.751716494,0.331777301,1.308601037,1.111338155,12.1,47.6,40.4,80
147,2.733695269,0.339825788,1.313593502,1.080275979,12.4,48.1,39.5,80
148,2.735484947,0.343018065,1.311084154,1.081382728,12.5,47.9,39.5,80
149,2.714640224,0.351451799,1.316871409,1.046317016,12.9,48.5,38.5,80
150,2.718726614,0.353430827,1.316507585,1.048788202,13,48.4,38.6,80
151,2.722259306,0.356769884,1.314007147,1.051482275,13.1,48.3,38.6,80
152,2.718734725,0.365482623,1.311805064,1.041447039,13.4,48.3,38.3,80
153,2.719038546,0.369060962,1.309303602,1.040673982,13.6,48.2,38.3,80
154,2.732964315,0.402748013,1.299278475,1.030937827,14.7,47.5,37.7,80
155,2.734158305,0.408619774,1.29527014,1.03026839,14.9,47.4,37.7,80
156,2.743371569,0.42145672,1.290321693,1.031593155,15.4,47,37.6,80
157,2.744479342,0.421781625,1.289981063,1.032716655,15.4,47,37.6,80
158,2.756225021,0.438831673,1.286078971,1.031314376,15.9,46.7,37.4,80
159,2.755893641,0.440369639,1.285323233,1.030200768,16,46.6,37.4,80
160,2.753220983,0.441304268,1.285076859,1.026839856,16,46.7,37.3,80
161,2.762809056,0.450750754,1.283956694,1.028101608,16.3,46.5,37.2,80
162,2.762208522,0.452617436,1.282823275,1.026767811,16.4,46.4,37.2,80
163,2.766786029,0.462619191,1.27879889,1.025367947,16.7,46.2,37.1,80
164,2.766947314,0.465010391,1.277106643,1.02483028,16.8,46.2,37,80
165,2.771269935,0.474271998,1.273094944,1.023902993,17.1,45.9,36.9,80
166,2.773001486,0.477321747,1.271795063,1.023884676,17.2,45.9,36.9,80
167,2.783631171,0.491009205,1.267028809,1.025593157,17.6,45.5,36.8,80
168,2.790805345,0.495972193,1.265742468,1.029090685,17.8,45.4,36.9,80
169,2.792083758,0.497501171,1.265480613,1.029101975,17.8,45.3,36.9,80
170,2.794395544,0.502876031,1.264392166,1.027127347,18,45.2,36.8,80
171,2.792665733,0.503391391,1.264272392,1.025001951,18,45.3,36.7,80
172,2.799347361,0.515978104,1.260737161,1.022632096,18.4,45,36.5,80
173,2.79792868,0.516274648,1.260713943,1.02094009,18.5,45.1,36.5,80
174,2.807288487,0.530253842,1.255484788,1.021549858,18.9,44.7,36.4,80
175,2.806749695,0.530536271,1.255445799,1.020767626,18.9,44.7,36.4,80
176,2.821585262,0.547882241,1.249456358,1.024246663,19.4,44.3,36.3,80
177,2.820565175,0.548345352,1.24950868,1.022711143,19.4,44.3,36.3,80
178,2.819449823,0.548485945,1.249672145,1.021291733,19.5,44.3,36.2,80
179,2.829398845,0.566170845,1.244067494,1.019160506,20,44,36,80
180,2.830016549,0.566160572,1.244164533,1.019691444,20,44,36,80
181,2.848758696,0.590534526,1.237110182,1.021113987,20.7,43.4,35.8,80
182,2.846235969,0.591209216,1.236995119,1.018031634,20.8,43.5,35.8,80
183,2.8622645,0.612619764,1.22975218,1.019892556,21.4,43,35.6,80
184,2.860768333,0.612918083,1.229781381,1.018068869,21.4,43,35.6,80
185,2.87188734,0.630430574,1.223591345,1.017865421,22,42.6,35.4,80
186,2.86817713,0.632723789,1.222649231,1.01280411,22.1,42.6,35.3,80
187,2.866104561,0.634111363,1.222022285,1.009970912,22.1,42.6,35.2,80
188,2.87916481,0.657324347,1.21366966,1.008170803,22.8,42.2,35,80
189,2.877929528,0.657733504,1.213608366,1.006587659,22.9,42.2,35,80
190,2.885081816,0.66895737,1.210543289,1.005581158,23.2,42,34.9,80
191,2.883971503,0.669978362,1.210189722,1.003803418,23.2,42,34.8,80
192,2.890851,0.678670109,1.208599904,1.003580987,23.5,41.8,34.7,80
193,2.888440232,0.679049145,1.208384894,1.001006193,23.5,41.8,34.7,80
194,2.892914116,0.687926073,1.205718454,0.999269589,23.8,41.7,34.5,80
195,2.892914116,0.687926073,1.205718454,0.999269589,23.8,41.7,34.5,80
196,2.89009414,0.688189331,1.205566847,0.996337962,23.8,41.7,34.5,80
197,2.895307327,0.69591425,1.203207854,0.996185222,24,41.6,34.4,80
198,2.894389894,0.696185744,1.20300382,0.995200329,24.1,41.6,34.4,80
199,2.899603741,0.70339497,1.202434474,0.993774297,24.3,41.5,34.3,80
200,2.899262683,0.709170922,1.199842858,0.990248904,24.5,41.4,34.2,80
201,2.905526798,0.716695109,1.198888859,0.98994283,24.7,41.3,34.1,80
