Layer,Value,Value_Binned,x,y
AgeMin,-12678,14 - 12k BP,97.5,79.5
AgeMin,-13470,14 - 12k BP,97.5,78.5
AgeMin,-12228,14 - 12k BP,104.5,76.5
AgeMin,-15234,16 - 14k BP,149.5,76.5
AgeMin,-11285,12 - 10k BP,99.5,75.5
AgeMin,-12529,14 - 12k BP,105.5,75.5
AgeMin,-12104,14 - 12k BP,110.5,75.5
AgeMin,-14812,16 - 14k BP,112.5,75.5
AgeMin,-11259,12 - 10k BP,113.5,75.5
AgeMin,-18889,<21 - 18k BP,140.5,75.5
AgeMin,-13337,14 - 12k BP,93.5,74.5
AgeMin,-12884,14 - 12k BP,98.5,74.5
AgeMin,-12747,14 - 12k BP,99.5,74.5
AgeMin,-14177,16 - 14k BP,100.5,74.5
AgeMin,-14175,16 - 14k BP,101.5,74.5
AgeMin,-11601,12 - 10k BP,106.5,74.5
AgeMin,-13932,14 - 12k BP,107.5,74.5
AgeMin,-10971,12 - 10k BP,148.5,74.5
AgeMin,-12081,14 - 12k BP,101.5,73.5
AgeMin,-14057,16 - 14k BP,141.5,73.5
AgeMin,-17017,18 - 16k BP,74.5,72.5
AgeMin,-20878,<21 - 18k BP,79.5,72.5
AgeMin,-18173,<21 - 18k BP,104.5,72.5
AgeMin,-16532,18 - 16k BP,106.5,72.5
AgeMin,-17664,18 - 16k BP,128.5,72.5
AgeMin,-20545,<21 - 18k BP,141.5,72.5
AgeMin,-8201,10 + 8k BP,-179.5,71.5
AgeMin,-8337,10 + 8k BP,-178.5,71.5
AgeMin,-12692,14 - 12k BP,71.5,71.5
AgeMin,-15836,16 - 14k BP,129.5,71.5
AgeMin,-7323,8 - 6.3k BP,179.5,71.5
AgeMin,-12444,14 - 12k BP,69.5,70.5
AgeMin,-18606,<21 - 18k BP,79.5,70.5
AgeMin,-14142,16 - 14k BP,143.5,70.5
AgeMin,-14869,16 - 14k BP,147.5,70.5
AgeMin,-12559,14 - 12k BP,149.5,70.5
AgeMin,-4196,ExtCI,179.5,70.5
AgeMin,-17669,18 - 16k BP,168.5,69.5
AgeMin,-17232,18 - 16k BP,169.5,69.5
AgeMin,-18600,<21 - 18k BP,174.5,69.5
AgeMin,-16406,18 - 16k BP,60.5,68.5
AgeMin,-12706,14 - 12k BP,69.5,68.5
AgeMin,-17434,18 - 16k BP,70.5,68.5
AgeMin,-14777,16 - 14k BP,169.5,68.5
AgeMin,-11911,12 - 10k BP,62.5,67.5
AgeMin,-15216,16 - 14k BP,67.5,67.5
AgeMin,-17759,18 - 16k BP,-169.5,66.5
AgeMin,-17713,18 - 16k BP,64.5,65.5
AgeMin,-18568,<21 - 18k BP,171.5,64.5
AgeMin,-16420,18 - 16k BP,-170.5,63.5
AgeMin,-20046,<21 - 18k BP,133.5,62.5
AgeMin,-12456,14 - 12k BP,68.5,61.5
AgeMin,-19595,<21 - 18k BP,24.5,60.5
AgeMin,-11265,12 - 10k BP,38.5,59.5
AgeMin,-13234,14 - 12k BP,62.5,59.5
AgeMin,-15587,16 - 14k BP,132.5,59.5
AgeMin,-12104,14 - 12k BP,26.5,58.5
AgeMin,-15476,16 - 14k BP,58.5,58.5
AgeMin,-15678,16 - 14k BP,69.5,58.5
AgeMin,-16782,18 - 16k BP,91.5,57.5
AgeMin,-15647,16 - 14k BP,21.5,56.5
AgeMin,-12449,14 - 12k BP,26.5,56.5
AgeMin,-16270,18 - 16k BP,92.5,56.5
AgeMin,-16076,18 - 16k BP,13.5,55.5
AgeMin,-20230,<21 - 18k BP,59.5,55.5
AgeMin,-16858,18 - 16k BP,73.5,55.5
AgeMin,-19948,<21 - 18k BP,82.5,55.5
AgeMin,-19164,<21 - 18k BP,85.5,55.5
AgeMin,-14268,16 - 14k BP,92.5,55.5
AgeMin,-17005,18 - 16k BP,23.5,54.5
AgeMin,-20421,<21 - 18k BP,61.5,54.5
AgeMin,-15312,16 - 14k BP,80.5,54.5
AgeMin,-14929,16 - 14k BP,-1.5,53.5
AgeMin,-15948,16 - 14k BP,33.5,53.5
AgeMin,-15274,16 - 14k BP,34.5,53.5
AgeMin,-14322,16 - 14k BP,-2.5,52.5
AgeMin,-18882,<21 - 18k BP,30.5,52.5
AgeMin,-17385,18 - 16k BP,34.5,52.5
AgeMin,-18267,<21 - 18k BP,103.5,52.5
AgeMin,-14609,16 - 14k BP,-2.5,51.5
AgeMin,-18503,<21 - 18k BP,33.5,51.5
AgeMin,-13758,14 - 12k BP,-3.5,50.5
AgeMin,-16141,18 - 16k BP,7.5,50.5
AgeMin,-17995,18 - 16k BP,11.5,50.5
AgeMin,-17488,18 - 16k BP,12.5,50.5
AgeMin,-15256,16 - 14k BP,17.5,50.5
AgeMin,-15791,16 - 14k BP,32.5,50.5
AgeMin,-16099,18 - 16k BP,72.5,50.5
AgeMin,-17827,18 - 16k BP,12.5,49.5
AgeMin,-16073,18 - 16k BP,31.5,49.5
AgeMin,-14629,16 - 14k BP,2.5,48.5
AgeMin,-17036,18 - 16k BP,3.5,48.5
AgeMin,-17348,18 - 16k BP,8.5,47.5
AgeMin,-15119,16 - 14k BP,6.5,46.5
AgeMin,-16670,18 - 16k BP,134.5,46.5
AgeMin,-19975,<21 - 18k BP,141.5,43.5
